subject	parcel	z_value	domain	contrast_name	dtype
8	dATN-B	0.08092395	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	dATN-B	-0.24509738	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	dATN-B	0.30608955	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	dATN-B	0.112057075	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	dATN-B	-0.5046465	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	dATN-B	0.49922216	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	SMOT-A	0.021311	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	SMOT-A	0.1266102	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	SMOT-A	-0.37991822	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	SMOT-A	0.05129701	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	SMOT-A	-0.3810144	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	SMOT-A	0.4403439	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	SMOT-A	0.158892	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	SMOT-A	-0.60385114	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	SMOT-A	0.75168586	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	SMOT-A	-0.084252976	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	SMOT-A	-0.15412162	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	LANG	1.4653814	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	LANG	1.256796	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	LANG	1.3207965	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	LANG	1.5166812	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	LANG	1.5975635	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	LANG	0.9792689	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	LANG	0.5263049	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	LANG	1.8083907	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
