subject	parcel	z_value	domain	contrast_name	dtype
3	FPN-A	-1.0767531	Sentence_Processing	SENTmCTRL	fusion
4	FPN-A	-2.5619583	Sentence_Processing	SENTmCTRL	fusion
6	FPN-A	-1.7504917	Sentence_Processing	SENTmCTRL	fusion
7	FPN-A	-1.2084212	Sentence_Processing	SENTmCTRL	fusion
8	FPN-A	-4.010974	Sentence_Processing	SENTmCTRL	fusion
9	FPN-A	-0.8217384	Sentence_Processing	SENTmCTRL	fusion
12	FPN-A	-1.5694242	Sentence_Processing	SENTmCTRL	fusion
13	FPN-A	-2.137049	Sentence_Processing	SENTmCTRL	fusion
14	FPN-A	-0.56629574	Sentence_Processing	SENTmCTRL	fusion
15	FPN-A	-0.4168761	Sentence_Processing	SENTmCTRL	fusion
2	dATN-A	-1.9476317	Sentence_Processing	SENTmCTRL	fusion
3	dATN-A	-1.2315373	Sentence_Processing	SENTmCTRL	fusion
4	dATN-A	-1.1650795	Sentence_Processing	SENTmCTRL	fusion
6	dATN-A	-2.251437	Sentence_Processing	SENTmCTRL	fusion
7	dATN-A	-1.2798921	Sentence_Processing	SENTmCTRL	fusion
8	dATN-A	-1.7400558	Sentence_Processing	SENTmCTRL	fusion
9	dATN-A	-1.1347355	Sentence_Processing	SENTmCTRL	fusion
12	dATN-A	-1.0312735	Sentence_Processing	SENTmCTRL	fusion
13	dATN-A	-0.90467477	Sentence_Processing	SENTmCTRL	fusion
14	dATN-A	-0.363878	Sentence_Processing	SENTmCTRL	fusion
15	dATN-A	0.33318958	Sentence_Processing	SENTmCTRL	fusion
2	VIS-C	0.08490279	Sentence_Processing	SENTmCTRL	fusion
3	VIS-C	0.41253215	Sentence_Processing	SENTmCTRL	fusion
4	VIS-C	0.0737118	Sentence_Processing	SENTmCTRL	fusion
6	VIS-C	0.35564682	Sentence_Processing	SENTmCTRL	fusion
7	VIS-C	0.04540796	Sentence_Processing	SENTmCTRL	fusion
8	VIS-C	0.53318596	Sentence_Processing	SENTmCTRL	fusion
9	VIS-C	-0.42995134	Sentence_Processing	SENTmCTRL	fusion
12	VIS-C	0.012488416	Sentence_Processing	SENTmCTRL	fusion
13	VIS-C	-0.33718893	Sentence_Processing	SENTmCTRL	fusion
14	VIS-C	-0.024839504	Sentence_Processing	SENTmCTRL	fusion
15	VIS-C	-0.06353906	Sentence_Processing	SENTmCTRL	fusion
2	SAL/PMN	-1.7447896	Sentence_Processing	SENTmCTRL	fusion
3	SAL/PMN	-1.3772739	Sentence_Processing	SENTmCTRL	fusion
4	SAL/PMN	-1.3317056	Sentence_Processing	SENTmCTRL	fusion
6	SAL/PMN	-2.668265	Sentence_Processing	SENTmCTRL	fusion
7	SAL/PMN	-0.5139838	Sentence_Processing	SENTmCTRL	fusion
8	SAL/PMN	-1.6557468	Sentence_Processing	SENTmCTRL	fusion
9	SAL/PMN	-1.7253207	Sentence_Processing	SENTmCTRL	fusion
12	SAL/PMN	-2.2625995	Sentence_Processing	SENTmCTRL	fusion
13	SAL/PMN	-1.3226714	Sentence_Processing	SENTmCTRL	fusion
14	SAL/PMN	-0.4879975	Sentence_Processing	SENTmCTRL	fusion
15	SAL/PMN	-0.16479065	Sentence_Processing	SENTmCTRL	fusion
2	DN-A	1.3493745	Sentence_Processing	SENTmCTRL	fusion
3	DN-A	1.5067426	Sentence_Processing	SENTmCTRL	fusion
4	DN-A	0.81625205	Sentence_Processing	SENTmCTRL	fusion
6	DN-A	1.1474819	Sentence_Processing	SENTmCTRL	fusion
7	DN-A	0.091008574	Sentence_Processing	SENTmCTRL	fusion
8	DN-A	0.9137395	Sentence_Processing	SENTmCTRL	fusion
9	DN-A	0.6090039	Sentence_Processing	SENTmCTRL	fusion
12	DN-A	0.8052777	Sentence_Processing	SENTmCTRL	fusion
13	DN-A	1.4302485	Sentence_Processing	SENTmCTRL	fusion
14	DN-A	0.31305763	Sentence_Processing	SENTmCTRL	fusion
15	DN-A	0.71039	Sentence_Processing	SENTmCTRL	fusion
