atlas	K	networks	subj	dice	type	strength	spatial_w	first_run	second_run	w/b
fs32k	15	all	10	0.6573147177696228	rest	10	0	3	11	within
fs32k	15	all	11	0.6450173258781433	rest	10	0	3	11	within
fs32k	15	all	1	0.5984455347061157	rest	10	0	3	12	within
fs32k	15	all	2	0.6030197739601135	rest	10	0	3	12	within
fs32k	15	all	3	0.5938704609870911	rest	10	0	3	12	within
fs32k	15	all	4	0.6963045597076416	rest	10	0	3	12	within
fs32k	15	all	5	0.6894770860671997	rest	10	0	3	12	within
fs32k	15	all	6	0.6551401615142822	rest	10	0	3	12	within
fs32k	15	all	7	0.5877421498298645	rest	10	0	3	12	within
fs32k	15	all	8	0.6504524350166321	rest	10	0	3	12	within
fs32k	15	all	9	0.6514284014701843	rest	10	0	3	12	within
fs32k	15	all	10	0.640931248664856	rest	10	0	3	12	within
fs32k	15	all	11	0.6520833969116211	rest	10	0	3	12	within
fs32k	15	all	1	0.6280759572982788	rest	10	0	3	13	within
fs32k	15	all	2	0.603531539440155	rest	10	0	3	13	within
fs32k	15	all	3	0.5939494967460632	rest	10	0	3	13	within
fs32k	15	all	4	0.6591269373893738	rest	10	0	3	13	within
fs32k	15	all	5	0.6516339778900146	rest	10	0	3	13	within
fs32k	15	all	6	0.6354350447654724	rest	10	0	3	13	within
fs32k	15	all	7	0.6018280386924744	rest	10	0	3	13	within
fs32k	15	all	8	0.6789736747741699	rest	10	0	3	13	within
fs32k	15	all	9	0.6294188499450684	rest	10	0	3	13	within
fs32k	15	all	10	0.6715718507766724	rest	10	0	3	13	within
fs32k	15	all	11	0.6179823279380798	rest	10	0	3	13	within
fs32k	15	all	1	0.6362769603729248	rest	10	0	3	14	within
fs32k	15	all	2	0.6207910180091858	rest	10	0	3	14	within
fs32k	15	all	3	0.6214648485183716	rest	10	0	3	14	within
fs32k	15	all	4	0.7228598594665527	rest	10	0	3	14	within
fs32k	15	all	5	0.7062771916389465	rest	10	0	3	14	within
fs32k	15	all	6	0.6082099676132202	rest	10	0	3	14	within
fs32k	15	all	7	0.6022301912307739	rest	10	0	3	14	within
fs32k	15	all	8	0.6143964529037476	rest	10	0	3	14	within
fs32k	15	all	9	0.6370584964752197	rest	10	0	3	14	within
fs32k	15	all	10	0.6301901340484619	rest	10	0	3	14	within
fs32k	15	all	11	0.603159487247467	rest	10	0	3	14	within
fs32k	15	all	1	0.6186859607696533	rest	10	0	3	15	within
